,pred_summary_score,my_pred_summary_score
23,"(0.4555160142348754, 0.3369175627240143)","[0.5555555555555556, 0.35353535353535354, 0.3812636165577342]"
24,"(0.6642066420664207, 0.5576208178438661)","[0.6363636363636364, 0.6363636363636364, 0.6363636363636364]"
25,"(0.614334470989761, 0.48109965635738833)","[0.4883720930232558, 0.6461538461538462, 0.6069364161849712]"
26,"(0.7054263565891472, 0.59375)","[0.6521739130434783, 0.6923076923076923, 0.6838905775075987]"
27,"(0.5728643216080402, 0.41624365482233505)","[0.47540983606557374, 0.58, 0.5555555555555555]"
28,"(0.6240601503759398, 0.4772727272727273)","[0.5373134328358209, 0.5625, 0.5572755417956655]"
29,"(0.5555555555555556, 0.4897959183673469)","[0.5777777777777777, 0.5416666666666666, 0.5485232067510548]"
30,"(0.6021505376344085, 0.5270758122743682)","[0.5853658536585366, 0.6857142857142857, 0.6629834254143647]"
31,"(0.5165876777251185, 0.3142857142857143)","[0.43478260869565216, 0.39215686274509803, 0.39999999999999997]"
32,"(0.5910931174089069, 0.4979591836734693)","[0.5283018867924528, 0.4827586206896552, 0.49122807017543857]"
33,"(0.5620915032679739, 0.44078947368421056)","[0.44329896907216493, 0.671875, 0.6090651558073655]"
34,"(0.5042016806722689, 0.3644067796610169)","[0.41333333333333333, 0.49206349206349204, 0.474006116207951]"
35,"(0.46938775510204084, 0.35051546391752575)","[0.43103448275862066, 0.5813953488372093, 0.5434782608695652]"
36,"(0.5701357466063349, 0.4657534246575343)","[0.5652173913043478, 0.4727272727272727, 0.48872180451127817]"
37,"(0.5921052631578947, 0.5165562913907285)","[0.6455696202531646, 0.6375, 0.6390977443609023]"
38,"(0.5372168284789643, 0.3583061889250814)","[0.5147058823529411, 0.4666666666666667, 0.47554347826086957]"
39,"(0.4266666666666667, 0.3139013452914798)","[0.4067796610169492, 0.3380281690140845, 0.3498542274052478]"
40,"(0.6262626262626263, 0.5408163265306122)","[0.5490196078431373, 0.5283018867924528, 0.532319391634981]"
41,"(0.544378698224852, 0.39520958083832336)","[0.5909090909090909, 0.5777777777777777, 0.5803571428571428]"
42,"(0.5549450549450549, 0.4143646408839779)","[0.6493506493506493, 0.49019607843137253, 0.5154639175257731]"
43,"(0.5116279069767442, 0.3671875)","[0.5614035087719298, 0.45714285714285713, 0.4747774480712166]"
44,"(0.5852090032154341, 0.5566343042071198)","[0.4351851851851852, 0.9215686274509803, 0.7532051282051282]"
45,"(0.562091503267974, 0.5328947368421052)","[0.42592592592592593, 0.92, 0.7467532467532468]"
46,"(0.7115384615384615, 0.6407766990291262)","[0.7142857142857143, 0.6862745098039216, 0.6916996047430831]"
47,"(0.4444444444444444, 0.30069930069930073)","[0.32967032967032966, 0.44776119402985076, 0.4178272980501393]"
48,"(0.6246575342465753, 0.5179063360881543)","[0.4957983193277311, 0.7763157894736842, 0.6973995271867612]"
49,"(0.5284552845528456, 0.41803278688524587)","[0.6078431372549019, 0.49206349206349204, 0.5115511551155115]"
50,"(0.5588235294117646, 0.40740740740740744)","[0.5857142857142857, 0.5857142857142857, 0.5857142857142857]"
51,"(0.6571428571428571, 0.6249999999999999)","[0.7169811320754716, 0.6031746031746031, 0.6229508196721311]"
52,"(0.43046357615894043, 0.26666666666666666)","[0.3333333333333333, 0.5217391304347826, 0.46875]"
53,"(0.5291479820627802, 0.4434389140271493)","[0.6428571428571429, 0.48214285714285715, 0.5075187969924811]"
54,"(0.34934497816593885, 0.17621145374449337)","[0.32, 0.24242424242424243, 0.2547770700636943]"
55,"(0.6453674121405751, 0.5466237942122187)","[0.6621621621621622, 0.6447368421052632, 0.6481481481481481]"
56,"(0.6636771300448431, 0.5701357466063348)","[0.6724137931034483, 0.639344262295082, 0.6456953642384107]"
57,"(0.683937823834197, 0.6282722513089004)","[0.6666666666666666, 0.625, 0.6329113924050632]"
