,pred_summary_score,my_pred_summary_score
27,"(0.6519823788546256, 0.5955555555555556)","[0.6268656716417911, 0.8571428571428571, 0.7984790874524715]"
28,"(0.6287625418060201, 0.49158249158249157)","[0.49333333333333335, 0.5967741935483871, 0.5727554179566563]"
29,"(0.7853881278538813, 0.7465437788018433)","[0.7272727272727273, 0.851063829787234, 0.823045267489712]"
30,"(0.734006734006734, 0.6644067796610169)","[0.7027027027027027, 0.8666666666666667, 0.8280254777070063]"
31,"(0.856046065259117, 0.8208092485549132)","[0.7380952380952381, 0.9489795918367347, 0.8976833976833978]"
32,"(0.7335423197492164, 0.6624605678233438)","[0.5714285714285714, 0.8571428571428571, 0.7792207792207791]"
33,"(0.7951070336391437, 0.7692307692307692)","[0.6774193548387096, 1.0, 0.9130434782608695]"
34,"(0.5977011494252873, 0.5328185328185329)","[0.44871794871794873, 0.5833333333333334, 0.550314465408805]"
35,"(0.6666666666666667, 0.5684210526315789)","[0.5714285714285714, 0.7804878048780488, 0.7272727272727273]"
36,"(0.823076923076923, 0.7906976744186047)","[0.8363636363636363, 0.8846153846153846, 0.8745247148288974]"
37,"(0.8627450980392156, 0.8394366197183099)","[0.7582417582417582, 0.9078947368421053, 0.8734177215189873]"
38,"(0.7588235294117648, 0.6982248520710058)","[0.7466666666666667, 0.7887323943661971, 0.7799442896935933]"
39,"(0.972972972972973, 0.9494163424124513)","[0.96, 1.0, 0.9917355371900827]"
40,"(0.6375545851528385, 0.5462555066079295)","[0.5373134328358209, 0.6792452830188679, 0.6451612903225805]"
41,"(0.7434554973821988, 0.6984126984126984)","[0.6923076923076923, 0.8780487804878049, 0.8333333333333334]"
42,"(0.8609271523178809, 0.811529933481153)","[0.8461538461538461, 0.8888888888888888, 0.88]"
43,"(0.7677419354838709, 0.7077922077922079)","[0.6944444444444444, 0.7575757575757576, 0.7440476190476191]"
44,"(0.5612903225806452, 0.512987012987013)","[0.4329896907216495, 0.9333333333333333, 0.7581227436823105]"
45,"(0.6133333333333333, 0.5503355704697985)","[0.45348837209302323, 0.975, 0.7926829268292683]"
46,"(0.7983193277310924, 0.7457627118644068)","[0.7096774193548387, 0.8979591836734694, 0.8527131782945737]"
47,"(0.49211356466876977, 0.3428571428571429)","[0.36607142857142855, 0.640625, 0.5570652173913043]"
48,"(0.7439353099730459, 0.6883468834688348)","[0.6116504854368932, 0.9402985074626866, 0.849056603773585]"
49,"(0.9736842105263157, 0.9536423841059603)","[0.9841269841269841, 1.0, 0.9967845659163985]"
50,"(0.7015384615384616, 0.6068111455108359)","[0.6067415730337079, 0.7941176470588235, 0.7479224376731302]"
51,"(0.8264462809917354, 0.7833333333333333)","[0.8115942028985508, 0.9032258064516129, 0.8832807570977917]"
52,"(0.6415094339622641, 0.6012658227848101)","[0.5294117647058824, 0.9, 0.7894736842105263]"
53,"(0.7703703703703704, 0.716417910447761)","[0.7592592592592593, 0.803921568627451, 0.7945736434108528]"
54,"(0.8263888888888888, 0.7902097902097902)","[0.7662337662337663, 0.8676470588235294, 0.845272206303725]"
55,"(0.9774011299435028, 0.9488636363636365)","[0.961038961038961, 0.9866666666666667, 0.9814323607427056]"
56,"(0.8449612403100776, 0.8046874999999999)","[0.782608695652174, 0.8852459016393442, 0.8626198083067093]"
57,"(0.680672268907563, 0.5932203389830508)","[0.5454545454545454, 0.8372093023255814, 0.7563025210084034]"
