,pred_summary_score,my_pred_summary_score
47,"(0.37060702875399365, 0.11575562700964628)","[0.25, 0.3389830508474576, 0.3164556962025316]"
48,"(0.3024390243902439, 0.029411764705882353)","[0.14035087719298245, 0.21333333333333335, 0.1932367149758454]"
49,"(0.21145374449339208, 0.035555555555555556)","[0.21568627450980393, 0.275, 0.2606635071090048]"
50,"(0.5287356321839081, 0.37209302325581395)","[0.5757575757575758, 0.48717948717948717, 0.5026455026455027]"
51,"(0.16216216216216217, 0.018099547511312215)","[0.056451612903225805, 0.18421052631578946, 0.12681159420289853]"
52,"(0.25477707006369427, 0.025806451612903226)","[0.06896551724137931, 0.07407407407407407, 0.07299270072992702]"
53,"(0.35918367346938773, 0.10699588477366255)","[0.3103448275862069, 0.36, 0.34883720930232553]"
54,"(0.21350762527233116, 0.07002188183807441)","[0.1557377049180328, 0.3877551020408163, 0.29874213836477986]"
55,"(0.2756598240469208, 0.04719764011799411)","[0.15294117647058825, 0.24528301886792453, 0.21885521885521889]"
56,"(0.2974683544303797, 0.0445859872611465)","[0.17333333333333334, 0.2826086956521739, 0.25096525096525096]"
57,"(0.3795620437956204, 0.15647921760391198)","[0.22429906542056074, 0.5217391304347826, 0.41237113402061853]"
58,"(0.3446327683615819, 0.0965909090909091)","[0.23809523809523808, 0.5263157894736842, 0.423728813559322]"
59,"(0.33663366336633666, 0.09999999999999999)","[0.273972602739726, 0.5405405405405406, 0.45248868778280543]"
60,"(0.39478584729981375, 0.09345794392523364)","[0.19078947368421054, 0.34523809523809523, 0.2971311475409836]"
61,"(0.27606461086637296, 0.050073637702503684)","[0.11764705882352941, 0.25, 0.20408163265306123]"
62,"(0.18502202643171806, 0.035555555555555556)","[0.07547169811320754, 0.12903225806451613, 0.11299435028248588]"
63,"(0.1693121693121693, 0.005319148936170213)","[0.04040404040404041, 0.08163265306122448, 0.06779661016949151]"
64,"(0.20810810810810812, 0.03252032520325203)","[0.11822660098522167, 0.41379310344827586, 0.2758620689655172]"
65,"(0.17829457364341086, 0.011673151750972763)","[0.06395348837209303, 0.28205128205128205, 0.1676829268292683]"
66,"(0.32286995515695066, 0.08144796380090497)","[0.24615384615384617, 0.42105263157894735, 0.3686635944700461]"
67,"(0.28199566160520606, 0.06535947712418301)","[0.1297709923664122, 0.26153846153846155, 0.2173913043478261]"
68,"(0.15841584158415842, 0.0202020202020202)","[0.11538461538461539, 0.16666666666666666, 0.15306122448979592]"
69,"(0.16, 0.03225806451612903)","[0.08955223880597014, 0.2222222222222222, 0.1714285714285714]"
70,"(0.25, 0.07361963190184048)","[0.09278350515463918, 0.16981132075471697, 0.14563106796116507]"
71,"(0.3243243243243243, 0.0136986301369863)","[0.12903225806451613, 0.14285714285714285, 0.13986013986013987]"
72,"(0.1925133689839572, 0.043243243243243246)","[0.11320754716981132, 0.15789473684210525, 0.14634146341463414]"
73,"(0.2684563758389262, 0.04729729729729729)","[0.16091954022988506, 0.35, 0.2834008097165992]"
74,"(0.29756097560975614, 0.058823529411764705)","[0.16666666666666666, 0.2608695652173913, 0.234375]"
75,"(0.23118279569892472, 0.03783783783783784)","[0.102803738317757, 0.2682926829268293, 0.20295202952029517]"
76,"(0.23121387283236994, 0.058479532163742694)","[0.2413793103448276, 0.4117647058823529, 0.3608247422680412]"
77,"(0.15290519877675843, 0.012307692307692308)","[0.1506849315068493, 0.3142857142857143, 0.2582159624413145]"
78,"(0.33519553072625696, 0.10169491525423727)","[0.21052631578947367, 0.24242424242424243, 0.23529411764705882]"
79,"(0.4345549738219895, 0.1842105263157895)","[0.36764705882352944, 0.4716981132075472, 0.4464285714285714]"
80,"(0.19834710743801653, 0.022160664819944602)","[0.06060606060606061, 0.18181818181818182, 0.12987012987012986]"
81,"(0.22439024390243903, 0.019704433497536946)","[0.04081632653061224, 0.04878048780487805, 0.046948356807511735]"
82,"(0.25249169435215946, 0.046822742474916385)","[0.1282051282051282, 0.20408163265306123, 0.18248175182481752]"
83,"(0.2843601895734597, 0.09569377990430622)","[0.16417910447761194, 0.3235294117647059, 0.27093596059113306]"
84,"(0.35714285714285715, 0.06542056074766354)","[0.24489795918367346, 0.288, 0.2782071097372488]"
85,"(0.345821325648415, 0.0463768115942029)","[0.22093023255813954, 0.2714285714285714, 0.25956284153005466]"
86,"(0.40909090909090906, 0.14720812182741116)","[0.297029702970297, 0.410958904109589, 0.38167938931297707]"
87,"(0.17919075144508673, 0.005813953488372093)","[0.0673076923076923, 0.15217391304347827, 0.12152777777777778]"
88,"(0.2415094339622641, 0.030418250950570346)","[0.11538461538461539, 0.2, 0.1744186046511628]"
89,"(0.3055555555555556, 0.04643962848297214)","[0.16030534351145037, 0.2, 0.19056261343012704]"
90,"(0.23684210526315788, 0.04)","[0.13636363636363635, 0.24, 0.20833333333333331]"
91,"(0.34200743494423796, 0.1492537313432836)","[0.20394736842105263, 0.49206349206349204, 0.3836633663366336]"
92,"(0.28030303030303033, 0.05343511450381679)","[0.14864864864864866, 0.21568627450980393, 0.19784172661870505]"
93,"(0.46551724137931033, 0.20869565217391303)","[0.37254901960784315, 0.3958333333333333, 0.39094650205761317]"
94,"(0.24866310160427804, 0.05630026809651474)","[0.20833333333333334, 0.379746835443038, 0.3260869565217392]"
95,"(0.2043478260869565, 0.039301310043668124)","[0.11904761904761904, 0.3488372093023256, 0.25167785234899326]"
96,"(0.22439024390243903, 0.014705882352941176)","[0.10091743119266056, 0.2391304347826087, 0.18771331058020482]"
97,"(0.26530612244897955, 0.03092783505154639)","[0.17647058823529413, 0.3103448275862069, 0.2694610778443114]"
98,"(0.27835051546391754, 0.052083333333333336)","[0.18055555555555555, 0.3939393939393939, 0.3186274509803922]"
99,"(0.30103092783505153, 0.053830227743271224)","[0.18181818181818182, 0.275, 0.24943310657596374]"
100,"(0.4832214765100671, 0.3783783783783784)","[0.41975308641975306, 0.5396825396825397, 0.5105105105105106]"
101,"(0.3552123552123552, 0.09548387096774194)","[0.22289156626506024, 0.33636363636363636, 0.3052805280528053]"
102,"(0.2821576763485477, 0.04184100418410042)","[0.15789473684210525, 0.1956521739130435, 0.18672199170124482]"
103,"(0.2741652021089631, 0.04585537918871252)","[0.11009174311926606, 0.12121212121212122, 0.11881188118811882]"
104,"(0.14671814671814673, 0.007782101167315174)","[0.046875, 0.13043478260869565, 0.09615384615384615]"
105,"(0.22608695652173913, 0.03508771929824562)","[0.09259259259259259, 0.17857142857142858, 0.1506024096385542]"
106,"(0.2708933717579251, 0.07536231884057971)","[0.13043478260869565, 0.3, 0.23809523809523814]"
107,"(0.20074349442379183, 0.02247191011235955)","[0.024390243902439025, 0.07407407407407407, 0.05263157894736842]"
108,"(0.26999999999999996, 0.025125628140703515)","[0.16071428571428573, 0.27692307692307694, 0.24193548387096775]"
109,"(0.31956912028725315, 0.05045045045045045)","[0.17482517482517482, 0.33783783783783783, 0.2847380410022779]"
110,"(0.3208020050125313, 0.07556675062972293)","[0.24299065420560748, 0.4262295081967213, 0.37037037037037035]"
111,"(0.30188679245283023, 0.009523809523809523)","[0.18461538461538463, 0.3076923076923077, 0.27149321266968324]"
112,"(0.3308270676691729, 0.11363636363636365)","[0.225, 0.5625, 0.4326923076923077]"
113,"(0.10526315789473685, 0.0)","[0.05154639175257732, 0.20833333333333334, 0.12953367875647667]"
114,"(0.2625, 0.04602510460251047)","[0.1037037037037037, 0.2153846153846154, 0.1772151898734177]"
115,"(0.1948051948051948, 0.039473684210526314)","[0.15555555555555556, 0.2413793103448276, 0.21739130434782608]"
116,"(0.26014319809069214, 0.059808612440191394)","[0.16810344827586207, 0.3979591836734694, 0.3125]"
117,"(0.32258064516129037, 0.07407407407407407)","[0.23, 0.3333333333333333, 0.3058510638297872]"
118,"(0.3333333333333333, 0.1509433962264151)","[0.25471698113207547, 0.47368421052631576, 0.4041916167664671]"
119,"(0.1646341463414634, 0.01840490797546012)","[0.14018691588785046, 0.42857142857142855, 0.3036437246963563]"
120,"(0.34005763688760804, 0.08115942028985507)","[0.1506849315068493, 0.25, 0.22088353413654616]"
121,"(0.4545454545454546, 0.14634146341463414)","[0.2289156626506024, 0.4318181818181818, 0.36679536679536684]"
122,"(0.265, 0.04522613065326633)","[0.1111111111111111, 0.22641509433962265, 0.18750000000000003]"
123,"(0.23204419889502761, 0.011173184357541898)","[0.10869565217391304, 0.14705882352941177, 0.13736263736263737]"
124,"(0.19330855018587365, 0.014981273408239699)","[0.06818181818181818, 0.07142857142857142, 0.07075471698113207]"
125,"(0.18556701030927836, 0.010416666666666666)","[0.04081632653061224, 0.05714285714285714, 0.05291005291005291]"
126,"(0.22364217252396165, 0.05144694533762058)","[0.24615384615384617, 0.2711864406779661, 0.26578073089701]"
127,"(0.18025751072961374, 0.017316017316017316)","[0.07692307692307693, 0.18181818181818182, 0.14285714285714285]"
129,"(0.25, 0.061224489795918366)","[0.125, 0.2826086956521739, 0.22569444444444445]"
