,pred_summary_score,my_pred_summary_score
2062,"(0.19584569732937687, 0.10746268656716419)","[0.5806451612903226, 0.14173228346456693, 0.16697588126159554]"
446,"(0.21212121212121213, 0.10659898477157359)","[0.7586206896551724, 0.14102564102564102, 0.16845329249617153]"
2304,"(0.3953488372093023, 0.12941176470588234)","[0.7037037037037037, 0.3958333333333333, 0.43378995433789946]"
464,"(0.21052631578947367, 0.11538461538461538)","[0.7666666666666667, 0.16428571428571428, 0.19491525423728812]"
483,"(0.24157303370786515, 0.15819209039548024)","[0.75, 0.2109375, 0.24635036496350365]"
530,"(0.20476190476190476, 0.09090909090909091)","[0.6571428571428571, 0.15333333333333332, 0.18110236220472437]"
2945,"(0.20746887966804983, 0.04184100418410042)","[0.4117647058823529, 0.1590909090909091, 0.18134715025906734]"
4311,"(0.24999999999999997, 0.03252032520325203)","[0.5185185185185185, 0.15730337078651685, 0.18276762402088773]"
1045,"(0.20535714285714285, 0.07207207207207209)","[0.5161290322580645, 0.2, 0.2279202279202279]"
3360,"(0.26573426573426573, 0.06338028169014086)","[0.48148148148148145, 0.12745098039215685, 0.14942528735632182]"
101,"(0.21826280623608016, 0.15659955257270694)","[0.8333333333333334, 0.16447368421052633, 0.19592476489028215]"
3804,"(0.431924882629108, 0.27488151658767773)","[0.7352941176470589, 0.423728813559322, 0.462962962962963]"
461,"(0.1101123595505618, 0.08783783783783783)","[0.9, 0.10495626822157435, 0.1274787535410765]"
1818,"(0.3007518796992481, 0.15151515151515152)","[0.6666666666666666, 0.23157894736842105, 0.26634382566585957]"
1356,"(0.35384615384615387, 0.24806201550387597)","[0.8333333333333334, 0.30120481927710846, 0.345303867403315]"
2102,"(0.2024793388429752, 0.14522821576763484)","[0.8055555555555556, 0.18012422360248448, 0.21323529411764708]"
2487,"(0.175, 0.11111111111111109)","[0.925, 0.17209302325581396, 0.20555555555555555]"
4056,"(0.3826086956521739, 0.20175438596491227)","[0.88, 0.2857142857142857, 0.3303303303303303]"
2025,"(0.23796033994334276, 0.12535612535612536)","[0.7586206896551724, 0.1864406779661017, 0.219560878243513]"
840,"(0.19496855345911948, 0.08227848101265824)","[0.6071428571428571, 0.14285714285714285, 0.16865079365079366]"
326,"(0.05511240029006526, 0.021786492374727667)","[0.8285714285714286, 0.061052631578947365, 0.07493540051679586]"
1350,"(0.12924071082390953, 0.05186385737439222)","[0.8461538461538461, 0.132, 0.1588065447545717]"
1354,"(0.3225806451612903, 0.09782608695652174)","[0.5454545454545454, 0.2647058823529412, 0.2950819672131148]"
1786,"(0.20382165605095542, 0.07692307692307691)","[0.47058823529411764, 0.1509433962264151, 0.17467248908296942]"
1402,"(0.22129436325678492, 0.18448637316561842)","[0.9393939393939394, 0.1949685534591195, 0.23168908819133036]"
1106,"(0.1663778162911612, 0.10434782608695653)","[0.8648648648648649, 0.16666666666666666, 0.19875776397515527]"
1674,"(0.42000000000000004, 0.2857142857142857)","[0.4722222222222222, 0.5862068965517241, 0.5592105263157895]"
2171,"(0.19140625, 0.11372549019607842)","[0.8205128205128205, 0.16243654822335024, 0.19347037484885124]"
3479,"(0.23478260869565215, 0.09649122807017545)","[0.5, 0.20987654320987653, 0.23743016759776536]"
4011,"(0.3258426966292135, 0.125)","[0.46875, 0.2830188679245283, 0.3073770491803278]"
4095,"(0.36153846153846153, 0.2558139534883721)","[0.8787878787878788, 0.32222222222222224, 0.36895674300254455]"
513,"(0.33695652173913043, 0.16483516483516483)","[0.5757575757575758, 0.25, 0.2818991097922849]"
310,"(0.12561576354679801, 0.06419753086419752)","[0.967741935483871, 0.09868421052631579, 0.12028869286287089]"
1083,"(0.3478260869565218, 0.24087591240875916)","[0.75, 0.2523364485981308, 0.29094827586206895]"
3975,"(0.24657534246575344, 0.15977961432506887)","[0.7741935483870968, 0.17142857142857143, 0.20304568527918784]"
3692,"(0.2367601246105919, 0.15673981191222572)","[0.7142857142857143, 0.21551724137931033, 0.250501002004008]"
1378,"(0.2727272727272727, 0.14379084967320258)","[0.6857142857142857, 0.24242424242424243, 0.2784222737819026]"
669,"(0.17200000000000001, 0.06827309236947791)","[0.8, 0.15384615384615385, 0.1834862385321101]"
2131,"(0.13524590163934427, 0.0411522633744856)","[0.5714285714285714, 0.08791208791208792, 0.10582010582010581]"
1432,"(0.6193548387096774, 0.48366013071895425)","[0.8181818181818182, 0.48214285714285715, 0.5252918287937742]"
4265,"(0.1540880503144654, 0.11356466876971609)","[0.8055555555555556, 0.1336405529953917, 0.16039823008849555]"
2053,"(0.4021164021164021, 0.23529411764705882)","[0.7272727272727273, 0.36363636363636365, 0.4040404040404041]"
4235,"(0.18475750577367206, 0.06960556844547564)","[0.625, 0.12658227848101267, 0.15060240963855423]"
3335,"(0.10970464135021098, 0.06131078224101479)","[0.9444444444444444, 0.09659090909090909, 0.11772853185595568]"
2299,"(0.18357487922705312, 0.05825242718446603)","[0.6666666666666666, 0.14864864864864866, 0.176]"
754,"(0.2385321100917431, 0.15668202764976957)","[0.8387096774193549, 0.1925925925925926, 0.2276707530647986]"
1500,"(0.1987577639751553, 0.12058212058212059)","[0.9090909090909091, 0.10471204188481675, 0.1272264631043257]"
462,"(0.19844357976653695, 0.11718750000000001)","[0.8787878787878788, 0.14720812182741116, 0.1766138855054811]"
2989,"(0.12809315866084425, 0.06715328467153285)","[0.8823529411764706, 0.12396694214876033, 0.14970059880239522]"
2582,"(0.17353579175704992, 0.06971677559912853)","[0.6451612903225806, 0.12903225806451613, 0.15360983102918588]"
1814,"(0.1308411214953271, 0.01408450704225352)","[0.6875, 0.14102564102564102, 0.1676829268292683]"
748,"(0.16574585635359115, 0.08502772643253236)","[0.7941176470588235, 0.14210526315789473, 0.17002518891687657]"
2521,"(0.12606060606060607, 0.05346294046172539)","[0.8, 0.09448818897637795, 0.1147227533460803]"
1889,"(0.21634615384615385, 0.11111111111111113)","[0.7419354838709677, 0.17424242424242425, 0.20572450805008946]"
3138,"(0.37722419928825623, 0.31541218637992835)","[0.8787878787878788, 0.28431372549019607, 0.32879818594104304]"
2899,"(0.2317596566523605, 0.0779220779220779)","[0.37142857142857144, 0.18309859154929578, 0.20376175548589343]"
3677,"(0.20481927710843373, 0.1693548387096774)","[0.8709677419354839, 0.17197452229299362, 0.20485584218512892]"
3364,"(0.26666666666666666, 0.03370786516853933)","[0.34375, 0.19298245614035087, 0.21153846153846154]"
4093,"(0.3037974683544304, 0.1592356687898089)","[0.8076923076923077, 0.175, 0.2075098814229249]"
4038,"(0.3383458646616541, 0.196969696969697)","[0.8636363636363636, 0.2111111111111111, 0.2486910994764398]"
457,"(0.2488038277511962, 0.1730769230769231)","[0.9444444444444444, 0.20987654320987653, 0.24853801169590642]"
2110,"(0.30344827586206896, 0.21527777777777782)","[0.84375, 0.25, 0.29094827586206895]"
2442,"(0.16403785488958988, 0.08544303797468356)","[0.9696969696969697, 0.14479638009049775, 0.17448200654307525]"
581,"(0.35102040816326535, 0.1646090534979424)","[0.7741935483870968, 0.3116883116883117, 0.35398230088495575]"
2828,"(0.25742574257425743, 0.09)","[0.4375, 0.18666666666666668, 0.2108433734939759]"
3956,"(0.33944954128440363, 0.21296296296296297)","[0.6875, 0.29333333333333333, 0.33132530120481923]"
423,"(0.17721518987341772, 0.10526315789473685)","[0.8620689655172413, 0.1388888888888889, 0.16688918558077437]"
616,"(0.3296703296703297, 0.16666666666666666)","[0.45454545454545453, 0.2777777777777778, 0.3012048192771084]"
618,"(0.3271375464684015, 0.20224719101123595)","[0.7058823529411765, 0.22429906542056074, 0.25974025974025977]"
57,"(0.12278308321964529, 0.05198358413132695)","[0.8888888888888888, 0.0995850622406639, 0.12108980827447023]"
2207,"(0.30128205128205127, 0.0838709677419355)","[0.9032258064516129, 0.2545454545454545, 0.29723991507430997]"
1157,"(0.22, 0.11557788944723618)","[0.6923076923076923, 0.11612903225806452, 0.1393188854489164]"
3898,"(0.25146198830409355, 0.18823529411764703)","[0.6764705882352942, 0.19491525423728814, 0.2272727272727273]"
936,"(0.28013029315960913, 0.09180327868852459)","[0.625, 0.19047619047619047, 0.22123893805309733]"
4450,"(0.24644549763033177, 0.18095238095238095)","[0.9655172413793104, 0.16279069767441862, 0.19525801952580196]"
1825,"(0.33557046979865773, 0.0816326530612245)","[0.3333333333333333, 0.21568627450980393, 0.23206751054852323]"
3930,"(0.35205992509363293, 0.2188679245283019)","[0.7878787878787878, 0.3333333333333333, 0.37681159420289856]"
4257,"(0.2958579881656805, 0.059880239520958084)","[0.4642857142857143, 0.20967741935483872, 0.23550724637681164]"
3799,"(0.4071856287425149, 0.1939393939393939)","[0.5483870967741935, 0.2698412698412698, 0.30035335689045933]"
2977,"(0.14814814814814814, 0.0)","[0.06666666666666667, 0.045454545454545456, 0.04854368932038835]"
2530,"(0.36363636363636365, 0.22535211267605632)","[0.8823529411764706, 0.3, 0.3456221198156682]"
26,"(0.2981818181818182, 0.1465201465201465)","[0.7941176470588235, 0.25471698113207547, 0.29475982532751094]"
2235,"(0.036318613289310776, 0.01734820322180917)","[0.7777777777777778, 0.03255813953488372, 0.04027617951668585]"
127,"(0.23736263736263738, 0.1368653421633554)","[0.9259259259259259, 0.18382352941176472, 0.21891418563922943]"
1920,"(0.4117647058823529, 0.198019801980198)","[0.625, 0.2597402597402597, 0.2941176470588235]"
2523,"(0.07965554359526372, 0.028047464940668825)","[0.4838709677419355, 0.041666666666666664, 0.050985723997280755]"
3846,"(0.1939655172413793, 0.12554112554112554)","[0.8787878787878788, 0.16111111111111112, 0.19256308100929617]"
539,"(0.2358974358974359, 0.010362694300518133)","[0.3, 0.13636363636363635, 0.1530612244897959]"
