,pred_summary_score,my_pred_summary_score
500,"(0.18108651911468812, 0.12525252525252523)","[0.8275862068965517, 0.15, 0.17937219730941706]"
3463,"(0.29023746701846964, 0.23342175066312998)","[0.9285714285714286, 0.2184873949579832, 0.25793650793650796]"
4301,"(0.1, 0.007168458781362007)","[0.45454545454545453, 0.0398406374501992, 0.04873294346978557]"
3204,"(0.09082125603864735, 0.05614714424007744)","[0.9142857142857143, 0.10666666666666667, 0.12955465587044535]"
1821,"(0.7407407407407408, 0.5384615384615384)","[1.0, 0.6666666666666666, 0.7142857142857142]"
2860,"(0.2546816479400749, 0.12075471698113206)","[0.7741935483870968, 0.24742268041237114, 0.2863961813842482]"
4347,"(0.2314540059347181, 0.1373134328358209)","[0.6774193548387096, 0.175, 0.2054794520547945]"
115,"(0.10187110187110188, 0.06458333333333334)","[0.875, 0.08615384615384615, 0.10510510510510511]"
2254,"(0.16759776536312848, 0.08598130841121496)","[0.7096774193548387, 0.12429378531073447, 0.14884979702300408]"
2058,"(0.2936288088642659, 0.2395543175487465)","[0.8888888888888888, 0.2782608695652174, 0.32258064516129037]"
3492,"(0.45390070921985815, 0.1726618705035971)","[0.6176470588235294, 0.4883720930232558, 0.5097087378640777]"
3780,"(0.3009708737864078, 0.11764705882352941)","[0.45161290322580644, 0.1891891891891892, 0.21406727828746178]"
3627,"(0.26865671641791045, 0.16816816816816815)","[0.7666666666666667, 0.24210526315789474, 0.28048780487804875]"
87,"(0.3468634686346863, 0.1338289962825279)","[0.7272727272727273, 0.3037974683544304, 0.34383954154727797]"
2896,"(0.2205513784461153, 0.1360201511335013)","[0.7878787878787878, 0.17105263157894737, 0.202808112324493]"
1747,"(0.1951219512195122, 0.04958677685950414)","[0.21428571428571427, 0.16666666666666666, 0.1744186046511628]"
406,"(0.148471615720524, 0.02192982456140351)","[0.5, 0.09392265193370165, 0.1121372031662269]"
75,"(0.18719211822660098, 0.07920792079207922)","[0.6129032258064516, 0.12582781456953643, 0.14960629921259844]"
1046,"(0.09859154929577464, 0.0685483870967742)","[0.8214285714285714, 0.0744336569579288, 0.09098101265822785]"
641,"(0.21761658031088082, 0.10416666666666667)","[0.7941176470588235, 0.19424460431654678, 0.22881355932203387]"
2115,"(0.33447098976109213, 0.23367697594501718)","[0.918918918918919, 0.2905982905982906, 0.33663366336633666]"
3477,"(0.150087260034904, 0.07355516637478109)","[0.6333333333333333, 0.09547738693467336, 0.11501210653753027]"
698,"(0.17994858611825193, 0.041343669250646)","[0.6818181818181818, 0.11904761904761904, 0.14258555133079848]"
4000,"(0.2687747035573122, 0.08764940239043825)","[0.4782608695652174, 0.14285714285714285, 0.16616314199395768]"
4495,"(0.27100271002710025, 0.18528610354223432)","[0.8064516129032258, 0.18796992481203006, 0.22202486678507993]"
463,"(0.18568665377176014, 0.13980582524271845)","[0.9310344827586207, 0.14835164835164835, 0.178335535006605]"
225,"(0.13480055020632736, 0.08000000000000002)","[0.8947368421052632, 0.12142857142857143, 0.14680483592400692]"
774,"(0.09819121447028423, 0.04145077720207254)","[0.8, 0.07722007722007722, 0.0942507068803016]"
2062,"(0.19883040935672514, 0.10588235294117648)","[0.6451612903225806, 0.16806722689075632, 0.19723865877712032]"
446,"(0.21158690176322417, 0.10632911392405063)","[0.7586206896551724, 0.1437908496732026, 0.171606864274571]"
